GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BC01_ISO_II_ejercTeorico2,com.uclm.BC01_ISO_II_ejercTeorico2,NegativoException,4,0,0,0,2,0,1,0,1,0
BC01_ISO_II_ejercTeorico2,com.uclm.BC01_ISO_II_ejercTeorico2,ejercicio2_ISO2,168,442,31,103,56,73,33,42,6,2
BC01_ISO_II_ejercTeorico2,com.uclm.BC01_ISO_II_ejercTeorico2,EdadException,4,0,0,0,2,0,1,0,1,0
BC01_ISO_II_ejercTeorico2,com.uclm.BC01_ISO_II_ejercTeorico2,NoHayPlazasException,4,0,0,0,2,0,1,0,1,0
